City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kodinsk,58.6881,99.1844,4.14,80,100,7.8,RU,1698088949
83,sao felix do xingu,-6.6447,-51.995,31.71,54,100,1.67,BR,1698088949
84,castillos,-34.1667,-53.8333,20.12,93,100,2.96,UY,1698088949
85,coracao de jesus,-16.6853,-44.365,34.61,20,91,1.23,BR,1698088949
86,port mathurin,-19.6833,63.4167,24.8,80,2,7.01,MU,1698088949
87,kamaishi,39.2667,141.8833,11.02,52,100,2.48,JP,1698088950
88,uturoa,-16.7333,-151.4333,26.47,82,57,5.61,PF,1698088950
89,bhabhua,25.05,83.6167,20.57,67,0,1.07,IN,1698088950
90,ushuaia,-54.8,-68.3,16.81,29,0,5.14,AR,1698088950
91,malyn,50.7723,29.2383,10.99,85,100,4.81,UA,1698088950
92,dalai,45.5,124.3,11.95,62,0,6.41,CN,1698088950
93,buala,-8.145,159.5921,26.09,84,100,1.51,SB,1698088950
94,orsta,62.2029,6.1272,8.77,93,75,1.03,NO,1698088951
95,harper,4.375,-7.7169,25.51,88,23,2.96,LR,1698088951
96,belyy yar,53.6039,91.3903,0.94,51,0,9.0,RU,1698088951
97,tiksi,71.6872,128.8694,-12.96,95,95,3.45,RU,1698088951
98,jamestown,42.097,-79.2353,14.45,55,0,4.12,US,1698088905
99,tralee,52.2704,-9.7026,9.44,96,83,3.47,IE,1698088951
100,krasavino,60.9614,46.4814,-1.48,85,100,2.13,RU,1698088951
101,at taj,24.2049,23.2857,23.86,26,0,4.83,LY,1698088952
102,boende,-0.2167,20.8667,21.24,98,100,0.58,CD,1698088952
103,barentu,15.1139,37.5928,28.87,35,100,1.92,ER,1698088952
104,ahero,-0.1746,34.9163,22.71,67,93,1.52,KE,1698088825
105,khandyga,62.6667,135.6,-8.32,97,100,1.05,RU,1698088952
106,chonchi,-42.6128,-73.8092,14.56,51,11,1.17,CL,1698088952
107,lorengau,-2.0226,147.2712,26.62,83,97,2.68,PG,1698088953
108,nova vicosa,-17.8919,-39.3719,25.41,63,49,4.13,BR,1698088847
109,ancud,-41.8697,-73.8203,12.7,68,0,5.08,CL,1698088953
110,saint-leonard,50.6906,1.6254,11.78,93,100,1.54,FR,1698088953
111,galliano,29.4422,-90.2992,31.11,51,0,3.09,US,1698088953
112,ouallam,14.3188,2.0866,32.65,12,5,2.5,NE,1698088953
113,sabang,5.8933,95.3214,27.15,76,100,2.36,ID,1698088954
114,yellowknife,62.456,-114.3525,-4.21,93,100,7.2,CA,1698088867
115,la foa,-21.7108,165.8276,21.33,77,70,2.2,NC,1698088954
116,stanley,54.868,-1.6985,9.6,93,100,2.57,GB,1698088954
117,merouana,35.6311,5.9119,21.83,35,100,3.28,DZ,1698088954
118,askoy,60.4092,5.226,7.2,100,59,1.54,NO,1698088954
119,brookings,44.3114,-96.7984,19.49,52,0,3.6,US,1698088764
120,chernyshevskiy,63.0128,112.4714,-9.62,98,67,1.27,RU,1698088955
121,bredasdorp,-34.5322,20.0403,15.15,79,0,6.15,ZA,1698088955
122,darwin,-12.4611,130.8418,27.99,79,75,2.24,AU,1698088754
123,lebu,-37.6167,-73.65,12.69,72,39,6.08,CL,1698088955
124,baukau,51.5526,7.2042,13.87,85,100,1.79,DE,1698088955
125,vadso,70.0744,29.7487,1.49,86,75,6.17,NO,1698088955
126,rehoboth,-23.3167,17.0833,23.91,12,0,5.26,NA,1698088956
127,longyearbyen,78.2186,15.6401,-5.09,74,75,1.03,SJ,1698088956
128,nikolayevsk-on-amure,53.1406,140.73,-0.6,58,100,1.51,RU,1698088956
129,teguise,29.0605,-13.564,21.12,60,20,5.66,ES,1698088956
130,ciudad del carmen,18.6333,-91.8333,30.02,58,40,3.09,MX,1698088702
131,lihue,21.9789,-159.3672,25.77,85,40,5.66,US,1698088956
132,mutoko,-17.397,32.2268,20.26,73,100,1.21,ZW,1698088956
133,corner brook,48.9667,-57.9484,7.09,69,100,4.27,CA,1698088957
134,sinop,41.7711,34.8709,17.66,48,9,2.5,TR,1698088957
135,wajir,1.7471,40.0573,32.65,38,47,3.86,KE,1698088957
136,chul'man,56.8479,124.9104,-5.63,98,100,0.32,RU,1698088957
137,agat village,13.3886,144.6585,28.06,89,0,4.12,GU,1698088957
138,xilin hot,43.9667,116.0333,5.14,38,5,1.32,CN,1698088957
139,dryden,49.7833,-92.7503,10.16,93,100,3.6,CA,1698088957
140,buka,40.8108,69.1986,13.07,77,25,2.0,UZ,1698088958
141,inhambane,-23.865,35.3833,21.5,78,0,1.97,MZ,1698088958
142,weno,7.4515,151.8468,28.47,73,23,1.95,FM,1698088958
143,san antonio de pale,-1.4014,5.6325,26.09,85,74,7.08,GQ,1698088958
144,vila velha,-20.3297,-40.2925,25.97,75,0,6.69,BR,1698088958
145,yeppoon,-23.1333,150.7333,18.88,90,32,1.36,AU,1698088958
146,kapuskasing,49.4169,-82.4331,9.05,57,75,5.66,CA,1698088958
147,sakakah,29.9697,40.2064,22.76,45,100,1.91,SA,1698088959
148,mejit,10.2753,170.8646,27.81,77,34,5.18,MH,1698088959
149,lishu,43.3047,124.3278,14.48,51,100,9.16,CN,1698088959
150,champerico,14.3,-91.9167,34.3,71,70,2.74,GT,1698088959
151,beeville,28.4008,-97.7483,29.79,65,100,6.17,US,1698088959
152,taraz,42.9,71.3667,7.23,100,100,0.0,KZ,1698088861
153,zhaqsy,51.9083,67.3133,-0.17,72,99,6.7,KZ,1698088959
154,pacocha,-17.5833,-71.3333,20.08,83,100,5.66,PE,1698088960
155,ankazoabo,-22.2833,44.5167,22.44,67,100,2.91,MG,1698088960
156,ribeira brava,32.65,-17.0667,20.56,71,93,0.68,PT,1698088960
157,ribeira grande,38.5167,-28.7,20.43,94,75,7.72,PT,1698088960
158,papatowai,-46.5619,169.4708,10.71,77,100,2.03,NZ,1698088960
159,smithers,54.7804,-127.1743,-0.82,59,100,3.09,CA,1698088960
160,natal,-5.795,-35.2094,28.36,74,75,8.75,BR,1698088770
161,port elizabeth,-33.918,25.5701,18.51,67,0,4.63,ZA,1698088960
162,usogorsk,63.4106,48.6872,-1.06,80,100,3.42,RU,1698088961
163,saint-francois,46.4154,3.9054,13.69,94,100,1.03,FR,1698088961
164,belvedere marittimo,39.6179,15.8617,16.73,69,62,2.67,IT,1698088961
165,port lincoln,-34.7333,135.8667,13.1,76,44,10.4,AU,1698088961
166,coronel suarez,-37.4547,-61.9334,17.82,69,100,4.82,AR,1698088961
167,aswan,24.0934,32.907,32.61,23,0,4.12,EG,1698088961
168,campos altos,-19.6961,-46.1714,31.46,27,100,1.02,BR,1698088961
169,vorgashor,67.5833,63.95,-8.47,97,100,2.29,RU,1698088962
170,maisi,43.0395,41.2621,16.32,61,99,2.13,GE,1698088962
171,arawa,-6.2132,155.5367,25.11,91,97,2.41,PG,1698088962
172,lazaro cardenas,17.9583,-102.2,28.37,69,83,2.37,MX,1698088962
173,el calafate,-50.3408,-72.2768,11.9,52,8,2.56,AR,1698088962
174,wapato,46.4476,-120.4203,15.21,55,0,1.54,US,1698088962
175,trairi,-3.2778,-39.2689,28.26,65,100,6.82,BR,1698088884
176,sant'antioco,39.0664,8.4522,21.96,75,100,4.02,IT,1698088962
177,ruhpolding,47.7667,12.65,10.6,71,100,2.51,DE,1698088963
178,ulsteinvik,62.3432,5.8487,9.07,94,100,0.89,NO,1698088963
179,mongoumba,3.6415,18.5936,23.05,94,100,0.91,CF,1698088963
180,midelt,32.6852,-4.7451,13.31,70,100,5.16,MA,1698088963
181,sitka,57.0531,-135.33,1.94,32,0,3.6,US,1698088963
182,jacmel,18.2342,-72.5347,31.91,73,49,1.96,HT,1698088963
183,maintirano,-18.0667,44.0167,26.75,78,85,2.62,MG,1698088964
184,katsuren-haebaru,26.3369,127.8719,26.21,65,100,2.06,JP,1698088964
185,labrador city,52.9463,-66.9114,1.95,64,20,2.57,CA,1698088964
186,tura,25.5198,90.2201,20.22,93,100,1.53,IN,1698088964
187,aasiaat,68.7098,-52.8699,-9.95,96,97,2.83,GL,1698088964
188,new norfolk,-42.7826,147.0587,9.84,98,100,0.83,AU,1698088964
189,rockland,41.1668,-74.0496,16.47,59,4,0.45,US,1698088964
190,pathein,16.7833,94.7333,24.09,94,100,1.8,MM,1698088965
191,san juan pueblo,15.5833,-87.2333,30.31,77,59,2.6,HN,1698088965
192,adrar,20.5022,-10.0711,30.07,30,98,2.81,MR,1698088751
193,moyale,3.5167,39.0584,23.52,63,19,2.1,KE,1698088722
194,rouissat,31.9243,5.3502,29.04,21,0,2.06,DZ,1698088965
195,utrik,11.2278,169.8474,28.06,74,100,5.88,MH,1698088965
196,alofi,-19.0595,-169.9187,22.94,78,100,5.66,NU,1698088965
197,waiuku,-37.25,174.75,16.5,96,100,1.53,NZ,1698088965
198,nowe miasto lubawskie,53.4208,19.5952,11.17,83,20,1.94,PL,1698088965
199,tazacorte,28.629,-17.9293,21.19,79,75,6.17,ES,1698088966
200,acarau,-2.8856,-40.12,28.62,65,100,9.22,BR,1698088966
201,peniche,39.3558,-9.3811,16.07,82,52,5.46,PT,1698088966
202,jiazi,22.8779,116.067,23.71,84,100,5.31,CN,1698088966
203,constantia,44.1833,28.65,18.38,62,86,2.82,RO,1698088966
204,isla mujeres,21.2311,-86.731,29.03,69,100,5.65,MX,1698088966
205,mount gambier,-37.8333,140.7667,19.45,24,92,9.13,AU,1698088967
206,nabire,-3.3667,135.4833,23.4,90,89,1.78,ID,1698088967
207,ilha de mocambique,-15.0342,40.7358,25.93,83,5,9.85,MZ,1698088967
208,sisophon,13.5859,102.9737,25.43,83,100,2.22,KH,1698088967
209,marsh harbour,26.5412,-77.0636,26.43,64,31,5.23,BS,1698088967
210,uliastay,47.7417,96.8444,3.52,58,56,2.51,MN,1698088967
211,guiuan,11.0333,125.7247,28.21,77,40,4.06,PH,1698088967
212,bubaque,11.2833,-15.8333,29.35,73,97,2.84,GW,1698088968
213,inca,39.7211,2.9109,20.55,76,89,2.53,ES,1698088968
214,huarmey,-10.0681,-78.1522,23.54,74,29,6.13,PE,1698088968
215,tulun,54.5611,100.5792,6.29,47,100,7.02,RU,1698088968
